review_id,product_category,product_name,review_text,star_rating,sentiment_label
1,Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,5,positive
2,Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",5,positive
3,Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",5,positive
4,Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,5,positive
5,Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",5,positive
6,Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,"barang bagus, seller ramah..",5,positive
7,Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,mantap paten joss,5,positive
8,Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",5,positive
9,Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,5,positive
10,Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,5,positive
11,Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,"Pengiriman super cepat, barang bagus, recommended seller, thanks",5,positive
12,Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,5,positive
13,Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",5,positive
14,Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",5,positive
15,Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,5,positive
16,Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",5,positive
17,Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,5,positive
18,Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",barang udah sampai ya gan dan berfungsi. terima kasih,5,positive
19,Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,barang mantap sesuai deskripsi laptop jadi adem n sejuk,5,positive
20,Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,"produk saya terima dengan kondisi baik, terima kasih ^^",5,positive
21,Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",5,positive
