34fc4267-7c03-4558-b1ae-33623905c8c2 | rusak | 1 | kemasan
feb4bd5b-fd8d-4126-984f-50ff004e02d1 | beda | 2 | kualitas produk
feb4bd5b-fd8d-4126-984f-50ff004e02d1 | berbeda | 2 | kualitas produk
feb4bd5b-fd8d-4126-984f-50ff004e02d1 | sesuai | 1 | kualitas produk
ae3d8b71-9637-480e-b724-55eee34fb077 | telat | 1 | pengiriman
ae3d8b71-9637-480e-b724-55eee34fb077 | apek | 1 | kualitas produk
ae3d8b71-9637-480e-b724-55eee34fb077 | salah | 1 | kualitas produk
4e88c20b-fd67-4f58-9252-0063a5558813 | penyok | 2 | kemasan
593ffa48-8822-48e9-8ed3-5ef0e6da1017 | kecewa | 1 | pelayanan
77f2a4c7-3ee4-480e-bac7-d79c173439e3 | bagus | 1 | kualitas produk
e8cc790c-32f0-4b4d-a634-577dc8981816 | lama | 2 | pengiriman
e8cc790c-32f0-4b4d-a634-577dc8981816 | beda | 1 | kualitas produk
c78d4699-1b66-446f-83af-43650ea5fb3e | kotor | 1 | kualitas produk
86d05d8b-940e-43d4-bdbf-44ef2f5280c0 | lambat | 1 | pengiriman
86d05d8b-940e-43d4-bdbf-44ef2f5280c0 | kecewa | 1 | pelayanan
da168490-acfa-420c-a81f-5c496e86840c | lama | 2 | pengiriman
da168490-acfa-420c-a81f-5c496e86840c | apek | 1 | kualitas produk
da168490-acfa-420c-a81f-5c496e86840c | kotor | 1 | kualitas produk
55fa1735-1e46-423c-a691-e282ed31c975 | bocor | 1 | kemasan
b7447909-e514-48dc-ba61-d59debd211a6 | rusak | 1 | kemasan
13d804b2-35dc-49d8-8996-3028f9664cd4 | kecewa | 1 | pelayanan
9ad2ac96-2ca0-4f8d-a96e-2b2053791454 | enak | 1 | kualitas produk
d5816426-a70d-4aa4-bc28-24909284c993 | fresh | 1 | kualitas produk
20d7e48f-1312-4ab1-bd2b-d9c5611f4fde | rusak | 1 | kemasan
20d7e48f-1312-4ab1-bd2b-d9c5611f4fde | lama | 1 | pengiriman
b651579e-e2af-4f52-9e39-78bae35642cf | robek | 2 | kemasan
b651579e-e2af-4f52-9e39-78bae35642cf | bocor | 2 | kemasan
b651579e-e2af-4f52-9e39-78bae35642cf | bagus | 2 | kualitas produk
b651579e-e2af-4f52-9e39-78bae35642cf | rusak | 1 | kemasan
ba7aa095-7cba-4806-8545-827694d242b0 | sedap | 1 | kualitas produk
ed3bce16-8d26-4bed-8a85-a52a3fb227e9 | lama | 1 | pengiriman
ed3bce16-8d26-4bed-8a85-a52a3fb227e9 | tumpah | 1 | kemasan
97204304-8a75-4ab2-b578-d82bacaad6fa | rusak | 1 | kemasan
9429409d-704c-41ed-adea-0bf77dd9cb9b | lama | 1 | pengiriman
1202c064-460e-4fb9-adc6-ff7ac8fb4c4a | salah | 1 | kualitas produk
1202c064-460e-4fb9-adc6-ff7ac8fb4c4a | rusak | 1 | kemasan
1202c064-460e-4fb9-adc6-ff7ac8fb4c4a | tumpah | 1 | kemasan
f5704914-d8a4-455a-9975-cf798c2ac3a4 | lama | 1 | pengiriman
f5704914-d8a4-455a-9975-cf798c2ac3a4 | bocor | 1 | kemasan
f5704914-d8a4-455a-9975-cf798c2ac3a4 | mahal | 1 | harga
90136f6f-e62f-46c2-9169-0f056e8b8252 | beda | 2 | kualitas produk
90136f6f-e62f-46c2-9169-0f056e8b8252 | bocor | 1 | kemasan
90136f6f-e62f-46c2-9169-0f056e8b8252 | karton | 1 | kemasan
12b2e61a-1757-4200-88a1-5c7e65d99d14 | berbeda | 1 | kualitas produk
46249516-7bb8-4360-b74f-b2bd9409e54d | mahal | 1 | harga
46249516-7bb8-4360-b74f-b2bd9409e54d | basi | 1 | kualitas produk
f8195293-bde0-48af-b3b0-34500dde676d | salah | 1 | kualitas produk
1b2d43b8-0b07-4c5f-ad2c-c493a08a972f | beda | 1 | kualitas produk
1b2d43b8-0b07-4c5f-ad2c-c493a08a972f | sampe | 1 | pengiriman
d6531e4a-435f-446d-999f-9ddd65f6ba0f | lama | 1 | pengiriman
d6531e4a-435f-446d-999f-9ddd65f6ba0f | rusak | 1 | kemasan
d6531e4a-435f-446d-999f-9ddd65f6ba0f | bocor | 1 | kemasan
d6531e4a-435f-446d-999f-9ddd65f6ba0f | salah | 1 | kualitas produk
2a1dbc67-a5ea-4152-9d0e-bad71615d12e | lama | 2 | pengiriman
2a1dbc67-a5ea-4152-9d0e-bad71615d12e | expired | 1 | kualitas produk
a7493951-d28a-4900-9d2c-ac2f8761f802 | lama | 1 | pengiriman
15483943-05b4-4fbf-bfdb-43d091aed657 | penyok | 1 | kemasan
1788bafb-0088-483c-961d-40b902baac67 | mahal | 2 | harga
1788bafb-0088-483c-961d-40b902baac67 | kecewa | 1 | pelayanan
4a5426e7-6d79-4c2f-b7b9-3e3cf1091b4a | lama | 1 | pengiriman
218a92e5-67f1-4c1b-9190-adea6d76b1a9 | sesuai | 1 | kualitas produk
218a92e5-67f1-4c1b-9190-adea6d76b1a9 | lambat | 1 | pengiriman
7da22996-ea40-489b-9e29-0d2e8a524b84 | bocor | 1 | kemasan
0ff8c710-5884-4fce-abb5-3593fcec99fd | cocok | 1 | kualitas produk
f0f8f3c3-2000-447a-ba43-63d2dd63541d | mahal | 1 | harga
a21aab2d-3c46-4e2b-88be-edb0454cdd44 | lama | 1 | pengiriman
f864cbd9-a4fa-44bf-bb7b-09aa69a470a9 | bocor | 2 | kemasan
f864cbd9-a4fa-44bf-bb7b-09aa69a470a9 | tumpah | 1 | kemasan
f864cbd9-a4fa-44bf-bb7b-09aa69a470a9 | lama | 1 | pengiriman
598d5533-82b5-4916-8c5a-7567a0304218 | lama | 2 | pengiriman
cb2066ef-932b-4b0a-a55d-f051c3218c2e | kecewa | 1 | pelayanan
e00ba03b-478b-4cfa-b0c5-938eae73f6c9 | expired | 1 | kualitas produk
